Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,cleaned_text,sentiment_group,text_length_chars,text_length_words,engagement_total,hashtag_count
0,0, Enjoying a beautiful day at the park!              , Positive  ,15/01/2023 12:30, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,enjoying a beautiful day at the park,positive,36,7,45.0,2
1,1, Traffic was terrible this morning.                 , Negative  ,15/01/2023 08:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,traffic was terrible this morning,negative,33,5,15.0,2
2,2, Just finished an amazing workout! 💪               , Positive  ,15/01/2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,just finished an amazing workout,positive,32,5,60.0,2
3,3, Excited about the upcoming weekend getaway!        , Positive  ,15/01/2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,excited about the upcoming weekend getaway,positive,42,6,23.0,2
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,15/01/2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,trying out a new recipe for dinner tonight,neutral,42,8,37.0,2
5,5, Feeling grateful for the little things in life.    , Positive  ,16/01/2023 09:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,feeling grateful for the little things in life,positive,46,8,75.0,2
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,16/01/2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,rainy days call for cozy blankets and hot cocoa,positive,47,9,30.0,2
7,7, The new movie release is a must-watch!             , Positive  ,16/01/2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,the new movie release is a mustwatch,positive,36,7,45.0,2
8,8, Political discussions heating up on the timeline.  , Negative  ,17/01/2023 08:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,political discussions heating up on the timeline,negative,48,7,90.0,2
9,9, Missing summer vibes and beach days.               , Neutral   ,17/01/2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,missing summer vibes and beach days,neutral,35,6,53.0,2
10,10, Just published a new blog post. Check it out!      , Positive  ,17/01/2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,just published a new blog post check it out,positive,43,9,67.0,2
11,11, Feeling a bit under the weather today.             , Negative  ,18/01/2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,feeling a bit under the weather today,negative,37,7,22.0,2
12,12, Exploring the city's hidden gems.                  , Positive  ,18/01/2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,exploring the citys hidden gems,positive,31,5,37.0,2
13,13," New year, new fitness goals! 💪                    ", Positive  ,18/01/2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,new year new fitness goals,positive,26,5,83.0,2
14,14, Technology is changing the way we live.            , Neutral   ,19/01/2023 09:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,technology is changing the way we live,neutral,38,7,45.0,2
15,15, Reflecting on the past and looking ahead.          , Positive  ,19/01/2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,reflecting on the past and looking ahead,positive,40,7,60.0,2
16,16, Just adopted a cute furry friend! 🐾              , Positive  ,19/01/2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,just adopted a cute furry friend,positive,32,6,45.0,2
17,17, Late-night gaming session with friends.            , Positive  ,20/01/2023 00:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,latenight gaming session with friends,positive,37,5,53.0,2
18,18, Attending a virtual conference on AI.              , Neutral   ,20/01/2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,attending a virtual conference on ai,neutral,36,6,75.0,2
19,19, Winter blues got me feeling low.                   , Negative  ,20/01/2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,winter blues got me feeling low,negative,31,6,23.0,2
20,20, Sipping coffee and enjoying a good book.           , Positive  ,21/01/2023 08:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,sipping coffee and enjoying a good book,positive,39,7,67.0,2
21,21, Exploring the world of virtual reality.            , Positive  ,21/01/2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,exploring the world of virtual reality,positive,38,6,45.0,2
22,22, Productive day ticking off my to-do list.          , Positive  ,21/01/2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,productive day ticking off my todo list,positive,39,7,90.0,2
23,23, Just finished a challenging workout routine.       , Positive  ,22/01/2023 09:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,just finished a challenging workout routine,positive,43,6,60.0,2
24,24, Celebrating a milestone at work! 🎉               , Positive  ,22/01/2023 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,celebrating a milestone at work,positive,31,5,37.0,2
25,25, Sunday brunch with friends.                        , Positive  ,22/01/2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,sunday brunch with friends,positive,26,4,45.0,2
27,28, Learning a new language for personal growth.       , Positive  ,23/01/2023 16:20, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,learning a new language for personal growth,positive,43,7,75.0,2
28,29, Quiet evening with a good book.                    , Positive  ,23/01/2023 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,quiet evening with a good book,positive,30,6,45.0,2
29,30, Reflecting on the importance of mental health.     , Positive  ,24/01/2023 11:30, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,reflecting on the importance of mental health,positive,45,7,67.0,2
30,31, New painting in progress! 🎨                       , Positive  ,24/01/2023 15:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,new painting in progress,positive,24,4,37.0,2
31,32, Weekend road trip to explore scenic views.         , Positive  ,24/01/2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,weekend road trip to explore scenic views,positive,41,7,53.0,2
32,33, Enjoying a cup of tea and watching the sunset.     , Positive  ,25/01/2023 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,enjoying a cup of tea and watching the sunset,positive,45,9,45.0,2
33,34, Coding a new project with enthusiasm.              , Positive  ,25/01/2023 13:15, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,coding a new project with enthusiasm,positive,36,6,90.0,2
34,35, Feeling inspired after attending a workshop.       , Positive  ,26/01/2023 09:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,feeling inspired after attending a workshop,positive,43,6,75.0,2
35,36, Winter sports day at the local park.               , Positive  ,26/01/2023 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,winter sports day at the local park,positive,35,7,45.0,2
36,37, Quality time with family this weekend.             , Positive  ,26/01/2023 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,quality time with family this weekend,positive,37,6,67.0,2
37,38, Attending a live music concert tonight.            , Positive  ,27/01/2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,attending a live music concert tonight,positive,38,6,53.0,2
38,39, Practicing mindfulness with meditation.            , Positive  ,27/01/2023 12:30, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,practicing mindfulness with meditation,positive,38,4,45.0,2
39,40, Trying out a new dessert recipe.                   , Positive  ,27/01/2023 16:10, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,trying out a new dessert recipe,positive,31,6,37.0,2
40,41, Excited about the upcoming gaming tournament.      , Positive  ,28/01/2023 09:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,excited about the upcoming gaming tournament,positive,44,6,90.0,2
41,42, Planning a garden makeover for spring.             , Positive  ,28/01/2023 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,planning a garden makeover for spring,positive,37,6,75.0,2
42,43, Celebrating a friend's birthday tonight! 🎂       , Positive  ,28/01/2023 19:30, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,celebrating a friends birthday tonight,positive,38,5,45.0,2
43,44, Feeling accomplished after a productive day.       , Positive  ,29/01/2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,feeling accomplished after a productive day,positive,43,6,67.0,2
44,45, A cozy evening with a good movie.                 , Positive  ,29/01/2023 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,a cozy evening with a good movie,positive,32,7,53.0,2
45,46, Exploring local art galleries this weekend.        , Positive  ,30/01/2023 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,exploring local art galleries this weekend,positive,42,6,45.0,2
46,47, New book release from my favorite author!          , Positive  ,30/01/2023 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,new book release from my favorite author,positive,40,7,37.0,2
47,48, Attending a virtual reality meetup.                , Positive  ,30/01/2023 18:30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,attending a virtual reality meetup,positive,34,5,83.0,2
48,49, Reflecting on the beauty of nature.                , Positive  ,31/01/2023 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,reflecting on the beauty of nature,positive,34,6,45.0,2
49,50, Cooking a special dinner for loved ones.           , Positive  ,31/01/2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,cooking a special dinner for loved ones,positive,39,7,60.0,2
50,51, Feeling optimistic about the week ahead.           , Positive  ,31/01/2023 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,feeling optimistic about the week ahead,positive,39,6,45.0,2
51,52, Starting a new fitness challenge tomorrow! 💪     , Positive  ,01/02/2023 08:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,starting a new fitness challenge tomorrow,positive,41,6,67.0,2
52,53, Sunday bike ride through scenic trails.           , Positive  ,01/02/2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,sunday bike ride through scenic trails,positive,38,6,53.0,2
53,55, Can't believe the injustice happening in our society., Anger        ,11/02/2023 09:30, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9,cant believe the injustice happening in our society,negative,51,8,60.0,2
54,56, Feeling a sense of fear after watching a thriller movie. , Fear         ,11/02/2023 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21,feeling a sense of fear after watching a thriller movie,negative,55,10,45.0,2
55,57, Heartbroken after hearing the news about a natural disaster. , Sadness      ,12/02/2023 14:45, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14,heartbroken after hearing the news about a natural disaster,negative,59,9,75.0,2
56,58, The state of the world's environment is just disgusting. , Disgust      ,12/02/2023 18:20, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18,the state of the worlds environment is just disgusting,neutral,54,9,53.0,2
